	CDN002_Vs_CDN001-U34B_Signal	CDN002_Vs_CDN001-U34B_Detection	CDN002_Vs_CDN001-U34B_Detection p-value	CDN002_Vs_CDN001-U34B_Signal Log Ratio	CDN002_Vs_CDN001-U34B_Change	CDN002_Vs_CDN001-U34B_Change p-value	Descriptions
rc_AA848463_at	52.5	A	0.765443	-0.5	NC	0.500000	rc_AA848463 EST191223 Rattus norvegicus cDNA, 3  end /clone=RKIAC50 /clone_end=3  /gb=AA848463 /gi=2936003 /ug=Rn.24726 /len=465
rc_AA848479_at	81.5	A	0.378184	0.7	NC	0.293817	rc_AA848479 EST191239 Rattus norvegicus cDNA, 3  end /clone=RKIAC58 /clone_end=3  /gb=AA848479 /gi=2936019 /ug=Rn.22805 /len=598
rc_AA848487_s_at	354.6	P	0.003585	-0.1	NC	0.500000	rc_AA848487 EST191247 Rattus norvegicus cDNA, 3  end /clone=RKIAC62 /clone_end=3  /gb=AA848487 /gi=2936027 /ug=Rn.2742 /len=539
rc_AA848492_at	379.6	A	0.150527	-0.0	NC	0.500000	rc_AA848492 EST191252 Rattus norvegicus cDNA, 3  end /clone=RKIAC65 /clone_end=3  /gb=AA848492 /gi=2936032 /ug=Rn.3528 /len=444
rc_AA848492_g_at	347.4	P	0.011447	0.0	NC	0.500000	rc_AA848492 EST191252 Rattus norvegicus cDNA, 3  end /clone=RKIAC65 /clone_end=3  /gb=AA848492 /gi=2936032 /ug=Rn.3528 /len=444
rc_AA848494_at	51.9	A	0.697453	0.5	NC	0.074959	rc_AA848494 EST191254 Rattus norvegicus cDNA, 3  end /clone=RKIAC66 /clone_end=3  /gb=AA848494 /gi=2936034 /ug=Rn.3913 /len=585
rc_AA848494_g_at	44.5	A	0.641310	0.4	NC	0.320081	rc_AA848494 EST191254 Rattus norvegicus cDNA, 3  end /clone=RKIAC66 /clone_end=3  /gb=AA848494 /gi=2936034 /ug=Rn.3913 /len=585
rc_AA848496_at	386.7	P	0.002617	-0.0	NC	0.500000	rc_AA848496 EST191256 Rattus norvegicus cDNA, 3  end /clone=RKIAC67 /clone_end=3  /gb=AA848496 /gi=2936036 /ug=Rn.8724 /len=501
rc_AA848496_g_at	1048.8	P	0.001141	0.1	NC	0.500000	rc_AA848496 EST191256 Rattus norvegicus cDNA, 3  end /clone=RKIAC67 /clone_end=3  /gb=AA848496 /gi=2936036 /ug=Rn.8724 /len=501
rc_AA848499_at	60.5	A	0.602006	0.6	NC	0.848129	rc_AA848499 EST191259 Rattus norvegicus cDNA, 3  end /clone=RKIAC69 /clone_end=3  /gb=AA848499 /gi=2936039 /ug=Rn.18056 /len=542
rc_AA848501_at	193.0	A	0.138765	-0.1	NC	0.552070	rc_AA848501 EST191261 Rattus norvegicus cDNA, 3  end /clone=RKIAC70 /clone_end=3  /gb=AA848501 /gi=2936041 /ug=Rn.14242 /len=576
rc_AA848503_at	240.8	M	0.048995	0.0	NC	0.559457	rc_AA848503 EST191263 Rattus norvegicus cDNA, 3  end /clone=RKIAC71 /clone_end=3  /gb=AA848503 /gi=2936043 /ug=Rn.2761 /len=563
rc_AA848503_g_at	266.4	A	0.397994	2.5	NC	0.160832	rc_AA848503 EST191263 Rattus norvegicus cDNA, 3  end /clone=RKIAC71 /clone_end=3  /gb=AA848503 /gi=2936043 /ug=Rn.2761 /len=563
rc_AA848508_at	1427.3	P	0.000219	0.0	NC	0.944016	rc_AA848508 EST191268 Rattus norvegicus cDNA, 3  end /clone=RKIAC74 /clone_end=3  /gb=AA848508 /gi=2936048 /ug=Rn.1752 /len=609
rc_AA848512_at	18.1	A	0.861235	-1.1	NC	0.749578	rc_AA848512 EST191272 Rattus norvegicus cDNA, 3  end /clone=RKIAC76 /clone_end=3  /gb=AA848512 /gi=2936052 /ug=Rn.3914 /len=511
rc_AA848530_at	132.8	A	0.081337	-0.2	NC	0.500000	rc_AA848530 EST191290 Rattus norvegicus cDNA, 3  end /clone=RKIAC86 /clone_end=3  /gb=AA848530 /gi=2936070 /ug=Rn.8578 /len=549
rc_AA848534_at	267.9	A	0.107301	0.1	NC	0.500000	rc_AA848534 EST191294 Rattus norvegicus cDNA, 3  end /clone=RKIAC89 /clone_end=3  /gb=AA848534 /gi=2936074 /ug=Rn.9035 /len=507
rc_AA848536_at	168.7	A	0.073830	0.3	NC	0.500000	rc_AA848536 EST191296 Rattus norvegicus cDNA, 3  end /clone=RKIAC90 /clone_end=3  /gb=AA848536 /gi=2936076 /ug=Rn.25077 /len=543
rc_AA848538_at	13.5	A	0.901946	-0.6	NC	0.679919	rc_AA848538 EST191298 Rattus norvegicus cDNA, 3  end /clone=RKIAC91 /clone_end=3  /gb=AA848538 /gi=2936078 /ug=Rn.3916 /len=527
rc_AA848540_at	455.5	M	0.054470	0.0	NC	0.507459	rc_AA848540 EST191300 Rattus norvegicus cDNA, 3  end /clone=RKIAC92 /clone_end=3  /gb=AA848540 /gi=2936080 /ug=Rn.3917 /len=467
rc_AA848540_g_at	117.6	A	0.302547	-0.1	NC	0.048036	rc_AA848540 EST191300 Rattus norvegicus cDNA, 3  end /clone=RKIAC92 /clone_end=3  /gb=AA848540 /gi=2936080 /ug=Rn.3917 /len=467
rc_AA848595_at	135.6	P	0.035163	-0.8	NC	0.910901	rc_AA848595 EST191355 Rattus norvegicus cDNA, 3  end /clone=RLUAC25 /clone_end=3  /gb=AA848595 /gi=2936135 /ug=Rn.6371 /len=437
rc_AA848597_at	193.8	A	0.073830	-0.8	NC	0.894866	rc_AA848597 EST191357 Rattus norvegicus cDNA, 3  end /clone=RLUAC26 /clone_end=3  /gb=AA848597 /gi=2936137 /ug=Rn.22806 /len=437
rc_AA848631_at	92.6	A	0.479380	-1.0	NC	0.778357	rc_AA848631 EST191391 Rattus norvegicus cDNA, 3  end /clone=RLUAC49 /clone_end=3  /gb=AA848631 /gi=2936171 /ug=Rn.2737 /len=448
rc_AA848643_at	35.1	A	0.621816	0.4	NC	0.238679	rc_AA848643 EST191403 Rattus norvegicus cDNA, 3  end /clone=RLUAC56 /clone_end=3  /gb=AA848643 /gi=2936183 /ug=Rn.21435 /len=341
rc_AA848646_at	143.2	P	0.013092	-0.7	NC	0.978282	rc_AA848646 EST191406 Rattus norvegicus cDNA, 3  end /clone=RLUAC58 /clone_end=3  /gb=AA848646 /gi=2936186 /ug=Rn.6375 /len=416
rc_AA848674_at	243.9	P	0.003585	-0.5	D	0.999926	rc_AA848674 EST191434 Rattus norvegicus cDNA, 3  end /clone=RLUAC73 /clone_end=3  /gb=AA848674 /gi=2936214 /ug=Rn.3994 /len=549
rc_AA848689_at	36.6	A	0.810313	0.5	NC	0.086123	rc_AA848689 EST191449 Rattus norvegicus cDNA, 3  end /clone=RLUAC83 /clone_end=3  /gb=AA848689 /gi=2936229 /ug=Rn.22441 /len=568
rc_AA848696_at	146.1	P	0.002617	-0.4	NC	0.805147	rc_AA848696 EST191456 Rattus norvegicus cDNA, 3  end /clone=RLUAC87 /clone_end=3  /gb=AA848696 /gi=2936236 /ug=Rn.22052 /len=466
rc_AA848738_at	318.0	A	0.250724	0.0	NC	0.485084	rc_AA848738 EST191498 Rattus norvegicus cDNA, 3  end /clone=RLUAE85 /clone_end=3  /gb=AA848738 /gi=2936278 /ug=Rn.6379 /len=340
rc_AA848752_at	77.0	M	0.048995	-0.3	NC	0.815287	rc_AA848752 EST191512 Rattus norvegicus cDNA, 3  end /clone=RLUAF08 /clone_end=3  /gb=AA848752 /gi=2936292 /ug=Rn.22220 /len=508
rc_AA848753_at	22.4	A	0.960635	-1.3	NC	0.433177	rc_AA848753 EST191513 Rattus norvegicus cDNA, 3  end /clone=RLUAF09 /clone_end=3  /gb=AA848753 /gi=2936293 /ug=Rn.174 /len=644
rc_AA848755_at	73.8	A	0.541184	0.4	NC	0.485084	rc_AA848755 EST191515 Rattus norvegicus cDNA, 3  end /clone=RLUAF15 /clone_end=3  /gb=AA848755 /gi=2936295 /ug=Rn.7364 /len=501
rc_AA848756_at	1160.5	P	0.000388	-0.1	NC	0.856752	rc_AA848756 EST191516 Rattus norvegicus cDNA, 3  end /clone=RLUAF20 /clone_end=3  /gb=AA848756 /gi=2936296 /ug=Rn.2578 /len=585
rc_AA848758_at	349.0	A	0.162935	-0.4	NC	0.767078	rc_AA848758 EST191518 Rattus norvegicus cDNA, 3  end /clone=RLUAF23 /clone_end=3  /gb=AA848758 /gi=2936298 /ug=Rn.3657 /len=591
rc_AA848776_at	662.5	P	0.011447	0.3	NC	0.281070	rc_AA848776 EST191537 Rattus norvegicus cDNA, 3  end /clone=RLUAF82 /clone_end=3  /gb=AA848776 /gi=2936316 /ug=Rn.17884 /len=542
rc_AA848780_at	400.6	A	0.175989	-0.2	NC	0.645790	rc_AA848780 EST191541 Rattus norvegicus cDNA, 3  end /clone=RLUAF92 /clone_end=3  /gb=AA848780 /gi=2936320 /ug=Rn.16639 /len=389
rc_AA848782_at	245.5	A	0.267463	-0.1	NC	0.500000	rc_AA848782 EST191543 Rattus norvegicus cDNA, 3  end /clone=RLUAF96 /clone_end=3  /gb=AA848782 /gi=2936322 /ug=Rn.3274 /len=580
rc_AA848795_at	848.5	P	0.000388	-0.2	NC	0.984237	rc_AA848795 EST191556 Rattus norvegicus cDNA, 3  end /clone=RLUAG53 /clone_end=3  /gb=AA848795 /gi=2936335 /ug=Rn.2523 /len=619
rc_AA848804_at	1243.6	P	0.000562	-0.1	NC	0.872989	rc_AA848804 EST191565 Rattus norvegicus cDNA, 3  end /clone=RLUAG63 /clone_end=3  /gb=AA848804 /gi=2936344 /ug=Rn.1858 /len=651
rc_AA848807_at	354.6	P	0.002228	-0.2	NC	0.610447	rc_AA848807 EST191568 Rattus norvegicus cDNA, 3  end /clone=RLUAG66 /clone_end=3  /gb=AA848807 /gi=2936347 /ug=Rn.3177 /len=605
rc_AA848809_at	17.1	A	0.749276	-1.5	NC	0.500000	rc_AA848809 EST191570 Rattus norvegicus cDNA, 3  end /clone=RLUAG68 /clone_end=3  /gb=AA848809 /gi=2936349 /ug=Rn.8297 /len=576
rc_AA848811_at	622.8	P	0.001141	0.2	NC	0.500000	rc_AA848811 EST191572 Rattus norvegicus cDNA, 3  end /clone=RLUAG70 /clone_end=3  /gb=AA848811 /gi=2936351 /ug=Rn.2199 /len=367
rc_AA848811_g_at	1398.0	P	0.011447	-0.1	NC	0.500000	rc_AA848811 EST191572 Rattus norvegicus cDNA, 3  end /clone=RLUAG70 /clone_end=3  /gb=AA848811 /gi=2936351 /ug=Rn.2199 /len=367
rc_AA848813_at	3443.6	P	0.000805	0.1	NC	0.500000	rc_AA848813 EST191574 Rattus norvegicus cDNA, 3  end /clone=RLUAG72 /clone_end=3  /gb=AA848813 /gi=2936353 /ug=Rn.2772 /len=596
rc_AA848813_g_at	1649.3	P	0.000322	0.1	NC	0.500000	rc_AA848813 EST191574 Rattus norvegicus cDNA, 3  end /clone=RLUAG72 /clone_end=3  /gb=AA848813 /gi=2936353 /ug=Rn.2772 /len=596
rc_AA848815_at	263.2	P	0.004180	-0.2	NC	0.969251	rc_AA848815 EST191576 Rattus norvegicus cDNA, 3  end /clone=RLUAG74 /clone_end=3  /gb=AA848815 /gi=2936355 /ug=Rn.6385 /len=558
rc_AA848820_at	12.8	A	0.892699	-0.4	NC	0.500000	rc_AA848820 EST191581 Rattus norvegicus cDNA, 3  end /clone=RLUAG79 /clone_end=3  /gb=AA848820 /gi=2936360 /ug=Rn.6386 /len=570
rc_AA848823_i_at	16.3	A	0.983398	-1.7	NC	0.526043	rc_AA848823 EST191584 Rattus norvegicus cDNA, 3  end /clone=RLUAG82 /clone_end=3  /gb=AA848823 /gi=2936363 /ug=Rn.3943 /len=606
rc_AA848823_s_at	69.2	A	0.397994	-0.1	NC	0.500000	rc_AA848823 EST191584 Rattus norvegicus cDNA, 3  end /clone=RLUAG82 /clone_end=3  /gb=AA848823 /gi=2936363 /ug=Rn.3943 /len=606
rc_AA848824_at	372.1	A	0.117160	-0.4	NC	0.992848	rc_AA848824 EST191585 Rattus norvegicus cDNA, 3  end /clone=RLUAG83 /clone_end=3  /gb=AA848824 /gi=2936364 /ug=Rn.3944 /len=610
rc_AA848826_at	251.4	A	0.189687	-0.4	NC	0.962166	rc_AA848826 EST191587 Rattus norvegicus cDNA, 3  end /clone=RLUAG86 /clone_end=3  /gb=AA848826 /gi=2936366 /ug=Rn.6387 /len=595
rc_AA848828_at	1615.8	P	0.001141	-0.4	D	0.999533	rc_AA848828 EST191589 Rattus norvegicus cDNA, 3  end /clone=RLUAG88 /clone_end=3  /gb=AA848828 /gi=2936368 /ug=Rn.25185 /len=530
rc_AA848828_g_at	601.3	P	0.013092	-1.0	D	0.999995	rc_AA848828 EST191589 Rattus norvegicus cDNA, 3  end /clone=RLUAG88 /clone_end=3  /gb=AA848828 /gi=2936368 /ug=Rn.25185 /len=530
rc_AA848829_at	94.0	A	0.138765	-0.6	NC	0.962166	rc_AA848829 EST191590 Rattus norvegicus cDNA, 3  end /clone=RLUAG89 /clone_end=3  /gb=AA848829 /gi=2936369 /ug=Rn.3724 /len=523
rc_AA848829_g_at	75.6	A	0.397994	-1.2	D	0.999960	rc_AA848829 EST191590 Rattus norvegicus cDNA, 3  end /clone=RLUAG89 /clone_end=3  /gb=AA848829 /gi=2936369 /ug=Rn.3724 /len=523
rc_AA848834_at	431.8	P	0.035163	-0.4	NC	0.910901	rc_AA848834 EST191595 Rattus norvegicus cDNA, 3  end /clone=RLUAG94 /clone_end=3  /gb=AA848834 /gi=2936374 /ug=Rn.24616 /len=419
rc_AA848868_at	29.8	A	0.933135	0.7	NC	0.500000	rc_AA848868 EST191629 Rattus norvegicus cDNA, 3  end /clone=RLUAH35 /clone_end=3  /gb=AA848868 /gi=2936408 /ug=Rn.6392 /len=512
rc_AA848880_at	35.6	A	0.697453	0.5	NC	0.500000	rc_AA848880 EST191641 Rattus norvegicus cDNA, 3  end /clone=RLUAH50 /clone_end=3  /gb=AA848880 /gi=2936420 /ug=Rn.6394 /len=395
rc_AA848893_at	189.0	A	0.204022	-0.4	NC	0.925041	rc_AA848893 EST191654 Rattus norvegicus cDNA, 3  end /clone=RLUAH64 /clone_end=3  /gb=AA848893 /gi=2936433 /ug=Rn.21109 /len=445
rc_AA848895_at	319.0	A	0.138765	-0.6	NC	0.981883	rc_AA848895 EST191656 Rattus norvegicus cDNA, 3  end /clone=RLUAH66 /clone_end=3  /gb=AA848895 /gi=2936435 /ug=Rn.6395 /len=471
rc_AA848896_at	216.7	A	0.267463	-0.5	NC	0.916778	rc_AA848896 EST191657 Rattus norvegicus cDNA, 3  end /clone=RLUAH67 /clone_end=3  /gb=AA848896 /gi=2936436 /ug=Rn.3951 /len=478
rc_AA848897_at	158.6	A	0.073830	-0.1	NC	0.901514	rc_AA848897 EST191658 Rattus norvegicus cDNA, 3  end /clone=RLUAH68 /clone_end=3  /gb=AA848897 /gi=2936437 /ug=Rn.22814 /len=529
rc_AA848902_at	11.8	A	0.732537	-2.0	D	0.998918	rc_AA848902 EST191663 Rattus norvegicus cDNA, 3  end /clone=RLUAH74 /clone_end=3  /gb=AA848902 /gi=2936442 /ug=Rn.22815 /len=413
rc_AA848904_at	57.3	A	0.358690	-0.7	NC	0.891423	rc_AA848904 EST191665 Rattus norvegicus cDNA, 3  end /clone=RLUAH76 /clone_end=3  /gb=AA848904 /gi=2936444 /ug=Rn.24805 /len=411
rc_AA848922_at	64.9	A	0.824011	0.4	NC	0.500000	rc_AA848922 EST191684 Rattus norvegicus cDNA, 3  end /clone=RLUAH95 /clone_end=3  /gb=AA848922 /gi=2936462 /ug=Rn.8175 /len=346
rc_AA848927_s_at	163.7	A	0.378184	-0.5	NC	0.659602	rc_AA848927 EST191689 Rattus norvegicus cDNA, 3  end /clone=RLUAI04 /clone_end=3  /gb=AA848927 /gi=2936467 /ug=Rn.22114 /len=390
rc_AA848929_at	313.3	A	0.267463	0.0	NC	0.500000	rc_AA848929 EST191691 Rattus norvegicus cDNA, 3  end /clone=RLUAI06 /clone_end=3  /gb=AA848929 /gi=2936469 /ug=Rn.8176 /len=316
rc_AA848930_at	125.6	A	0.541184	-0.1	NC	0.856752	rc_AA848930 EST191692 Rattus norvegicus cDNA, 3  end /clone=RLUAI07 /clone_end=3  /gb=AA848930 /gi=2936470 /ug=Rn.16643 /len=471
rc_AA848935_at	138.5	A	0.339558	-0.4	NC	0.969251	rc_AA848935 EST191697 Rattus norvegicus cDNA, 3  end /clone=RLUAI12 /clone_end=3  /gb=AA848935 /gi=2936475 /ug=Rn.20285 /len=449
rc_AA848941_at	234.2	P	0.017001	0.2	NC	0.500000	rc_AA848941 EST191703 Rattus norvegicus cDNA, 3  end /clone=RLUAI21 /clone_end=3  /gb=AA848941 /gi=2936481 /ug=Rn.6401 /len=486
rc_AA848941_g_at	1215.5	P	0.003585	-0.0	NC	0.500000	rc_AA848941 EST191703 Rattus norvegicus cDNA, 3  end /clone=RLUAI21 /clone_end=3  /gb=AA848941 /gi=2936481 /ug=Rn.6401 /len=486
rc_AA848943_at	569.4	P	0.008689	-0.1	NC	0.624713	rc_AA848943 EST191705 Rattus norvegicus cDNA, 3  end /clone=RLUAI24 /clone_end=3  /gb=AA848943 /gi=2936483 /ug=Rn.6402 /len=392
rc_AA848948_at	320.9	P	0.005643	-0.3	D	0.999467	rc_AA848948 EST191710 Rattus norvegicus cDNA, 3  end /clone=RLUAI29 /clone_end=3  /gb=AA848948 /gi=2936488 /ug=Rn.1242 /len=582
rc_AA848963_at	214.5	A	0.066865	-0.3	NC	0.966561	rc_AA848963 EST191725 Rattus norvegicus cDNA, 3  end /clone=RLUAI46 /clone_end=3  /gb=AA848963 /gi=2936503 /ug=Rn.22820 /len=338
rc_AA848964_at	118.2	A	0.320830	-0.5	NC	0.500000	rc_AA848964 EST191726 Rattus norvegicus cDNA, 3  end /clone=RLUAI47 /clone_end=3  /gb=AA848964 /gi=2936504 /ug=Rn.6404 /len=304
rc_AA848965_at	224.0	A	0.060419	-0.3	D	0.999954	rc_AA848965 EST191727 Rattus norvegicus cDNA, 3  end /clone=RLUAI48 /clone_end=3  /gb=AA848965 /gi=2936505 /ug=Rn.6405 /len=467
rc_AA848967_at	1243.9	P	0.002228	0.3	NC	0.500000	rc_AA848967 EST191729 Rattus norvegicus cDNA, 3  end /clone=RLUAI50 /clone_end=3  /gb=AA848967 /gi=2936507 /ug=Rn.22821 /len=346
rc_AA848968_at	1709.2	P	0.000219	0.0	NC	0.500000	rc_AA848968 EST191730 Rattus norvegicus cDNA, 3  end /clone=RLUAI51 /clone_end=3  /gb=AA848968 /gi=2936508 /ug=Rn.22808 /len=363
rc_AA848968_g_at	628.8	P	0.013092	-0.1	NC	0.566823	rc_AA848968 EST191730 Rattus norvegicus cDNA, 3  end /clone=RLUAI51 /clone_end=3  /gb=AA848968 /gi=2936508 /ug=Rn.22808 /len=363
rc_AA848977_at	870.4	P	0.000673	0.1	NC	0.500000	rc_AA848977 EST191739 Rattus norvegicus cDNA, 3  end /clone=RLUAI60 /clone_end=3  /gb=AA848977 /gi=2936517 /ug=Rn.3408 /len=491
rc_AA848979_at	2649.8	P	0.014937	0.1	NC	0.500000	rc_AA848979 EST191741 Rattus norvegicus cDNA, 3  end /clone=RLUAI63 /clone_end=3  /gb=AA848979 /gi=2936519 /ug=Rn.6406 /len=444
rc_AA848985_at	30.9	A	0.901946	-1.0	NC	0.686578	rc_AA848985 EST191747 Rattus norvegicus cDNA, 3  end /clone=RLUAI69 /clone_end=3  /gb=AA848985 /gi=2936525 /ug=Rn.22823 /len=262
rc_AA848990_at	176.6	P	0.027860	-0.4	NC	0.815287	rc_AA848990 EST191752 Rattus norvegicus cDNA, 3  end /clone=RLUAI75 /clone_end=3  /gb=AA848990 /gi=2936530 /ug=Rn.6408 /len=419
rc_AA848994_at	3313.8	P	0.001892	-0.1	MD	0.997175	rc_AA848994 EST191756 Rattus norvegicus cDNA, 3  end /clone=RLUAI80 /clone_end=3  /gb=AA848994 /gi=2936534 /ug=Rn.6409 /len=511
rc_AA849003_at	370.4	A	0.189687	0.3	NC	0.500000	rc_AA849003 EST191765 Rattus norvegicus cDNA, 3  end /clone=RLUAI89 /clone_end=3  /gb=AA849003 /gi=2936543 /ug=Rn.6411 /len=457
rc_AA849007_at	200.6	A	0.479380	0.2	NC	0.500000	rc_AA849007 EST191769 Rattus norvegicus cDNA, 3  end /clone=RLUAI94 /clone_end=3  /gb=AA849007 /gi=2936547 /ug=Rn.8179 /len=475
rc_AA849010_at	282.1	P	0.003067	-0.0	NC	0.500000	rc_AA849010 EST191772 Rattus norvegicus cDNA, 3  end /clone=RLUAJ11 /clone_end=3  /gb=AA849010 /gi=2936550 /ug=Rn.24918 /len=307
rc_AA849012_at	118.8	A	0.089405	0.1	NC	0.500000	rc_AA849012 EST191774 Rattus norvegicus cDNA, 3  end /clone=RLUAJ23 /clone_end=3  /gb=AA849012 /gi=2936552 /ug=Rn.6413 /len=672
rc_AA849015_at	111.2	A	0.541184	1.4	NC	0.156309	rc_AA849015 EST191777 Rattus norvegicus cDNA, 3  end /clone=RLUAJ34 /clone_end=3  /gb=AA849015 /gi=2936555 /ug=Rn.23164 /len=623
rc_AA849019_at	137.9	A	0.500000	2.2	NC	0.256407	rc_AA849019 EST191781 Rattus norvegicus cDNA, 3  end /clone=RLUAJ46 /clone_end=3  /gb=AA849019 /gi=2936559 /ug=Rn.3966 /len=635
rc_AA849026_at	143.3	P	0.031336	0.7	NC	0.030749	rc_AA849026 EST191788 Rattus norvegicus cDNA, 3  end /clone=RLUAJ60 /clone_end=3  /gb=AA849026 /gi=2936566 /ug=Rn.22825 /len=587
rc_AA849027_at	161.5	A	0.418069	-0.7	NC	0.500000	rc_AA849027 EST191789 Rattus norvegicus cDNA, 3  end /clone=RLUAJ63 /clone_end=3  /gb=AA849027 /gi=2936567 /ug=Rn.6415 /len=507
rc_AA849028_at	131.4	A	0.218983	-0.7	D	0.998124	rc_AA849028 EST191790 Rattus norvegicus cDNA, 3  end /clone=RLUAJ65 /clone_end=3  /gb=AA849028 /gi=2936568 /ug=Rn.3997 /len=657
rc_AA849030_at	262.4	P	0.017001	-0.7	D	0.999618	rc_AA849030 EST191792 Rattus norvegicus cDNA, 3  end /clone=RLUAJ68 /clone_end=3  /gb=AA849030 /gi=2936570 /ug=Rn.790 /len=554
rc_AA849031_at	75.8	A	0.602006	1.3	NC	0.462755	rc_AA849031 EST191793 Rattus norvegicus cDNA, 3  end /clone=RLUAJ69 /clone_end=3  /gb=AA849031 /gi=2936571 /ug=Rn.6416 /len=667
rc_AA849032_at	492.2	P	0.024711	-0.3	NC	0.983483	rc_AA849032 EST191794 Rattus norvegicus cDNA, 3  end /clone=RLUAJ71 /clone_end=3  /gb=AA849032 /gi=2936572 /ug=Rn.4205 /len=607
rc_AA849034_at	101.3	A	0.175989	-0.4	NC	0.500000	rc_AA849034 EST191796 Rattus norvegicus cDNA, 3  end /clone=RLUAJ77 /clone_end=3  /gb=AA849034 /gi=2936574 /ug=Rn.23539 /len=504
rc_AA849037_at	19.6	A	0.715253	0.0	NC	0.718930	rc_AA849037 EST191799 Rattus norvegicus cDNA, 3  end /clone=RLUAJ80 /clone_end=3  /gb=AA849037 /gi=2936577 /ug=Rn.6418 /len=622
rc_AA849040_at	776.6	P	0.005643	-0.4	D	0.999795	rc_AA849040 EST191802 Rattus norvegicus cDNA, 3  end /clone=RLUAJ83 /clone_end=3  /gb=AA849040 /gi=2936580 /ug=Rn.9389 /len=573
rc_AA849042_at	203.3	P	0.039365	-0.4	NC	0.500000	rc_AA849042 EST191804 Rattus norvegicus cDNA, 3  end /clone=RLUAJ85 /clone_end=3  /gb=AA849042 /gi=2936582 /ug=Rn.6421 /len=553
rc_AA849092_at	172.4	P	0.001892	-0.6	NC	0.500000	rc_AA849092 EST191859 Rattus norvegicus cDNA, 3  end /clone=RMUAB49 /clone_end=3  /gb=AA849092 /gi=2936632 /ug=Rn.22826 /len=450
rc_AA849112_at	41.8	A	0.715253	0.4	NC	0.500000	rc_AA849112 EST191879 Rattus norvegicus cDNA, 3  end /clone=RMUAB76 /clone_end=3  /gb=AA849112 /gi=2936652 /ug=Rn.6427 /len=428
rc_AA849119_at	231.4	A	0.081337	-0.1	NC	0.500000	rc_AA849119 EST191886 Rattus norvegicus cDNA, 3  end /clone=RMUAB84 /clone_end=3  /gb=AA849119 /gi=2936659 /ug=Rn.6429 /len=454
rc_AA849132_at	377.4	P	0.019304	0.4	NC	0.500000	rc_AA849132 EST191899 Rattus norvegicus cDNA, 3  end /clone=RMUAC01 /clone_end=3  /gb=AA849132 /gi=2936672 /ug=Rn.12991 /len=306
rc_AA849263_at	179.9	A	0.302517	0.2	NC	0.500000	rc_AA849263 EST192030 Rattus norvegicus cDNA, 3  end /clone=RMUAC84 /clone_end=3  /gb=AA849263 /gi=2936803 /ug=Rn.23141 /len=359
rc_AA849275_at	10.7	A	0.986908	0.7	NC	0.080395	rc_AA849275 EST192042 Rattus norvegicus cDNA, 3  end /clone=RMUAC90 /clone_end=3  /gb=AA849275 /gi=2936815 /ug=Rn.6442 /len=301
rc_AA849307_f_at	121.6	A	0.089405	-0.3	NC	0.500000	rc_AA849307 EST192074 Rattus norvegicus cDNA, 3  end /clone=RMUAD25 /clone_end=3  /gb=AA849307 /gi=2936847 /ug=Rn.6444 /len=179
rc_AA849312_at	1072.6	P	0.011447	-0.1	NC	0.666430	rc_AA849312 EST192079 Rattus norvegicus cDNA, 3  end /clone=RMUAD30 /clone_end=3  /gb=AA849312 /gi=2936852 /ug=Rn.6445 /len=298
rc_AA849317_at	23.3	A	0.892699	0.1	NC	0.500000	rc_AA849317 EST192084 Rattus norvegicus cDNA, 3  end /clone=RMUAD36 /clone_end=3  /gb=AA849317 /gi=2936857 /ug=Rn.19460 /len=276
rc_AA849354_at	38.9	A	0.418069	-1.6	NC	0.500000	rc_AA849354 EST192121 Rattus norvegicus cDNA, 3  end /clone=RMUAD76 /clone_end=3  /gb=AA849354 /gi=2936894 /ug=Rn.22830 /len=317
rc_AA849365_at	473.2	P	0.002617	1.0	I	0.000012	rc_AA849365 EST192132 Rattus norvegicus cDNA, 3  end /clone=RMUAD90 /clone_end=3  /gb=AA849365 /gi=2936905 /ug=Rn.22831 /len=268
rc_AA849377_at	170.5	P	0.017001	-0.1	NC	0.948111	rc_AA849377 EST192144 Rattus norvegicus cDNA, 3  end /clone=RMUAE06 /clone_end=3  /gb=AA849377 /gi=2936917 /ug=Rn.19963 /len=434
rc_AA849377_g_at	53.2	A	0.500000	2.3	NC	0.015038	rc_AA849377 EST192144 Rattus norvegicus cDNA, 3  end /clone=RMUAE06 /clone_end=3  /gb=AA849377 /gi=2936917 /ug=Rn.19963 /len=434
rc_AA849388_at	36.5	A	0.972140	0.5	NC	0.368216	rc_AA849388 EST192155 Rattus norvegicus cDNA, 3  end /clone=RMUAE20 /clone_end=3  /gb=AA849388 /gi=2936928 /ug=Rn.1922 /len=372
rc_AA849388_g_at	83.6	A	0.561639	-0.8	NC	0.500000	rc_AA849388 EST192155 Rattus norvegicus cDNA, 3  end /clone=RMUAE20 /clone_end=3  /gb=AA849388 /gi=2936928 /ug=Rn.1922 /len=372
rc_AA849390_at	75.9	A	0.267463	3.3	NC	0.021718	rc_AA849390 EST192157 Rattus norvegicus cDNA, 3  end /clone=RMUAE22 /clone_end=3  /gb=AA849390 /gi=2936930 /ug=Rn.6458 /len=529
rc_AA849391_at	229.9	P	0.009985	-0.5	NC	0.872989	rc_AA849391 EST192158 Rattus norvegicus cDNA, 3  end /clone=RMUAE23 /clone_end=3  /gb=AA849391 /gi=2936931 /ug=Rn.24808 /len=532
