	CDN002_Vs_CDN001-U34A_Signal	CDN002_Vs_CDN001-U34A_Detection	CDN002_Vs_CDN001-U34A_Detection p-value	CDN002_Vs_CDN001-U34A_Signal Log Ratio	CDN002_Vs_CDN001-U34A_Change	CDN002_Vs_CDN001-U34A_Change p-value	Descriptions
rc_AI176689_at	325.8	P	0.005643	0.0	NC	0.500000	rc_AI176689 EST220282 Rattus norvegicus cDNA, 3  end /clone=ROVBV56 /clone_end=3  /gb=AI176689 /ug=Rn.17256 /len=597
rc_AI045858_at	32.0	A	0.302547	-0.8	NC	0.869055	rc_AI045858 UI-R-C1-km-e-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-km-e-10-0-UI /clone_end=3  /gb=AI045858 /ug=Rn.1740 /len=432
rc_AI176170_at	2157.1	P	0.000219	0.1	NC	0.500000	rc_AI176170 EST219751 Rattus norvegicus cDNA, 3  end /clone=ROVBL77 /clone_end=3  /gb=AI176170 /ug=Rn.1740 /len=469
rc_AA819708_s_at	2549.1	P	0.000219	0.1	NC	0.500000	rc_AA819708 UI-R-A0-ap-e-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A0-ap-e-06-0-UI /clone_end=3  /gb=AA819708 /gi=2888934 /ug=Rn.1745 /len=468
rc_AI010725_at	1204.9	P	0.000219	-0.1	NC	0.500000	rc_AI010725 EST205176 Rattus norvegicus cDNA, 3  end /clone=RMUAQ58 /clone_end=3  /gb=AI010725 /ug=Rn.1762 /len=571
rc_AI010725_g_at	1795.1	P	0.000219	-0.0	NC	0.500000	rc_AI010725 EST205176 Rattus norvegicus cDNA, 3  end /clone=RMUAQ58 /clone_end=3  /gb=AI010725 /ug=Rn.1762 /len=571
rc_AI235707_at	79.0	A	0.302547	-0.3	NC	0.500000	rc_AI235707 EST232269 Rattus norvegicus cDNA, 3  end /clone=ROVCW10 /clone_end=3  /gb=AI235707 /ug=Rn.1762 /len=471
rc_AI235707_g_at	707.0	P	0.000322	-0.0	NC	0.500000	rc_AI235707 EST232269 Rattus norvegicus cDNA, 3  end /clone=ROVCW10 /clone_end=3  /gb=AI235707 /ug=Rn.1762 /len=471
rc_AI011556_s_at	368.2	P	0.001141	0.3	NC	0.033439	rc_AI011556 EST206007 Rattus norvegicus cDNA, 3  end /clone=ROVAW63 /clone_end=3  /gb=AI011556 /ug=Rn.17740 /len=405
rc_AI229655_at	364.2	P	0.035163	0.3	NC	0.179768	rc_AI229655 EST226350 Rattus norvegicus cDNA, 3  end /clone=REMCK07 /clone_end=3  /gb=AI229655 /ug=Rn.17740 /len=571
rc_AI177256_at	186.7	P	0.017001	-0.4	NC	0.946094	rc_AI177256 EST220870 Rattus norvegicus cDNA, 3  end /clone=ROVCE44 /clone_end=3  /gb=AI177256 /ug=Rn.17882 /len=455
rc_AI112237_at	1471.5	P	0.000219	-0.2	NC	0.946094	rc_AI112237 UI-R-Y0-mh-e-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-Y0-mh-e-09-0-UI /clone_end=3  /gb=AI112237 /ug=Rn.18013 /len=368
rc_AI008863_at	480.4	A	0.081337	-0.3	NC	0.617600	rc_AI008863 EST203314 Rattus norvegicus cDNA, 3  end /clone=REMBE50 /clone_end=3  /gb=AI008863 /ug=Rn.1893 /len=401
rc_AA818487_s_at	815.5	P	0.000219	0.3	NC	0.123160	rc_AA818487 UI-R-A0-at-d-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A0-at-d-09-0-UI /clone_end=3  /gb=AA818487 /gi=2889226 /ug=Rn.1893 /len=527
rc_AA892234_at	1654.6	P	0.000388	-0.1	NC	0.500000	rc_AA892234 EST196037 Rattus norvegicus cDNA, 3  end /clone=RKIAO03 /clone_end=3  /gb=AA892234 /gi=3019113 /ug=Rn.1916 /len=632
rc_AA818604_s_at	32.1	A	0.378184	1.6	NC	0.156309	rc_AA818604 UI-R-A0-bc-h-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A0-bc-h-02-0-UI /clone_end=3  /gb=AA818604 /gi=2889343 /ug=Rn.1950 /len=516
AA848563_s_at	13.8	A	0.926170	-0.1	NC	0.127011	AA848563 EST191323 Rattus norvegicus cDNA, 5  end /clone=RLUAC08 /clone_end=5  /gb=AA848563 /gi=2936103 /ug=Rn.1950 /len=467
rc_AA944361_at	417.8	A	0.089405	0.4	NC	0.492541	rc_AA944361 EST199860 Rattus norvegicus cDNA, 3  end /clone=REMAF89 /clone_end=3  /gb=AA944361 /gi=3104277 /ug=Rn.1972 /len=579
rc_AA946369_at	31.5	A	0.641310	-0.1	NC	0.500000	rc_AA946369 EST201868 Rattus norvegicus cDNA, 3  end /clone=RLUBH30 /clone_end=3  /gb=AA946369 /gi=3106285 /ug=Rn.1972 /len=399
rc_AA866477_at	1478.5	P	0.000219	0.3	NC	0.069809	rc_AA866477 UI-R-E0-br-h-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-br-h-03-0-UI /clone_end=3  /gb=AA866477 /gi=2961938 /ug=Rn.2026 /len=488
rc_AI172097_at	305.3	P	0.014937	0.1	NC	0.500000	rc_AI172097 EST218092 Rattus norvegicus cDNA, 3  end /clone=RMUBU88 /clone_end=3  /gb=AI172097 /gi=3712137 /ug=Rn.20418 /len=570
rc_AI172097_g_at	737.5	P	0.027860	0.1	NC	0.210683	rc_AI172097 EST218092 Rattus norvegicus cDNA, 3  end /clone=RMUBU88 /clone_end=3  /gb=AI172097 /gi=3712137 /ug=Rn.20418 /len=570
J02852_at	7.3	A	0.697453	-0.4	NC	0.955585	J02852 Rattus norvegicus cytochrome P450 IIA3 mRNA, 3  end /cds=(0,1463) /gb=J02852 /gi=703260 /ug=Rn.2063 /len=1658
J02852_g_at	74.2	A	0.581931	-0.3	NC	0.843691	J02852 Rattus norvegicus cytochrome P450 IIA3 mRNA, 3  end /cds=(0,1463) /gb=J02852 /gi=703260 /ug=Rn.2063 /len=1658
rc_AA892544_s_at	1934.2	P	0.000959	0.1	NC	0.139063	rc_AA892544 EST196347 Rattus norvegicus cDNA, 3  end /clone=RKIAS69 /clone_end=3  /gb=AA892544 /gi=3019423 /ug=Rn.2079 /len=550
rc_AI013834_s_at	263.3	P	0.002617	0.1	NC	0.500000	rc_AI013834 EST208509 Rattus norvegicus cDNA, 3  end /clone=RSPBV42 /clone_end=3  /gb=AI013834 /ug=Rn.2082 /len=600
rc_AI101743_s_at	4.5	A	0.824011	-2.5	NC	0.937401	rc_AI101743 EST211032 Rattus norvegicus cDNA, 3  end /clone=RBRBU51 /clone_end=3  /gb=AI101743 /gi=3706605 /ug=Rn.2082 /len=512
rc_AA945050_f_at	11.8	A	0.795978	-0.2	NC	0.500000	rc_AA945050 EST200549 Rattus norvegicus cDNA, 3  end /clone=RLIAF78 /clone_end=3  /gb=AA945050 /ug=Rn.2151 /len=445
rc_AA945589_at	162.3	A	0.138765	-0.2	NC	0.447930	rc_AA945589 EST201088 Rattus norvegicus cDNA, 3  end /clone=RLIAP44 /clone_end=3  /gb=AA945589 /ug=Rn.2151 /len=569
rc_AI028836_at	9.1	A	0.951005	-0.2	NC	0.500000	rc_AI028836 UI-R-C0-ij-a-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-ij-a-05-0-UI /clone_end=3  /gb=AI028836 /ug=Rn.2151 /len=390
rc_AA818122_f_at	4.6	A	0.995137	-0.3	NC	0.935065	rc_AA818122 UI-R-A0-am-h-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A0-am-h-01-0-UI /clone_end=3  /gb=AA818122 /gi=2888002 /ug=Rn.2151 /len=596
rc_AI169372_at	15.4	A	0.765443	-0.2	NC	0.500000	rc_AI169372 EST215216 Rattus norvegicus cDNA, 3  end /clone=RKIBR42 /clone_end=3  /gb=AI169372 /gi=3705680 /ug=Rn.2184 /len=651
rc_AI169372_g_at	59.1	A	0.520620	-0.5	NC	0.965146	rc_AI169372 EST215216 Rattus norvegicus cDNA, 3  end /clone=RKIBR42 /clone_end=3  /gb=AI169372 /gi=3705680 /ug=Rn.2184 /len=651
rc_AI171542_at	2173.5	P	0.000219	0.1	NC	0.500000	rc_AI171542 EST217507 Rattus norvegicus cDNA, 3  end /clone=RMUBM34 /clone_end=3  /gb=AI171542 /gi=3711582 /ug=Rn.22045 /len=420
rc_AA858640_s_at	505.9	P	0.000219	-0.1	NC	0.500000	rc_AA858640 UI-R-E0-bq-d-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bq-d-08-0-UI /clone_end=3  /gb=AA858640 /gi=2948980 /ug=Rn.221 /len=463
rc_AA850568_at	21.8	A	0.861235	-0.1	NC	0.300289	rc_AA850568 EST193335 Rattus norvegicus cDNA, 3  end /clone=ROVAH35 /clone_end=3  /gb=AA850568 /gi=2938108 /ug=Rn.221 /len=465
rc_AA900476_at	191.6	A	0.098054	1.2	MI	0.002991	rc_AA900476 UI-R-E0-bw-c-12-0-UI.s2 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bw-c-12-0-UI /clone_end=3  /gb=AA900476 /gi=3035830 /ug=Rn.221 /len=463
rc_AA900476_g_at	174.9	P	0.003585	0.2	NC	0.033439	rc_AA900476 UI-R-E0-bw-c-12-0-UI.s2 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bw-c-12-0-UI /clone_end=3  /gb=AA900476 /gi=3035830 /ug=Rn.221 /len=463
rc_AA955950_at	24.8	A	0.541184	0.1	NC	0.500000	rc_AA955950 UI-R-E1-ff-b-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-ff-b-11-0-UI /clone_end=3  /gb=AA955950 /ug=Rn.221 /len=480
rc_AI007614_at	63.4	P	0.039365	-0.7	NC	0.963681	rc_AI007614 EST202065 Rattus norvegicus cDNA, 3  end /clone=RBRAS22 /clone_end=3  /gb=AI007614 /ug=Rn.221 /len=522
rc_AI009132_at	1469.7	P	0.000266	-0.2	NC	0.712590	rc_AI009132 EST203583 Rattus norvegicus cDNA, 3  end /clone=REMBJ20 /clone_end=3  /gb=AI009132 /ug=Rn.221 /len=678
rc_AI009141_at	137.9	P	0.004863	-0.2	NC	0.500000	rc_AI009141 EST203592 Rattus norvegicus cDNA, 3  end /clone=REMBJ39 /clone_end=3  /gb=AI009141 /ug=Rn.221 /len=608
rc_AI009147_at	142.3	A	0.073830	-0.7	D	0.999729	rc_AI009147 EST203598 Rattus norvegicus cDNA, 3  end /clone=REMBJ52 /clone_end=3  /gb=AI009147 /ug=Rn.221 /len=429
rc_AI009297_at	22.5	A	0.951005	-0.7	NC	0.989793	rc_AI009297 EST203748 Rattus norvegicus cDNA, 3  end /clone=RHEAI70 /clone_end=3  /gb=AI009297 /ug=Rn.221 /len=702
rc_AI010293_at	499.8	P	0.019304	-0.0	NC	0.500000	rc_AI010293 EST204744 Rattus norvegicus cDNA, 3  end /clone=RLUBW57 /clone_end=3  /gb=AI010293 /ug=Rn.221 /len=546
rc_AI010371_at	251.1	P	0.000322	-0.0	NC	0.500000	rc_AI010371 EST204822 Rattus norvegicus cDNA, 3  end /clone=RLUBX88 /clone_end=3  /gb=AI010371 /ug=Rn.221 /len=661
rc_AI011706_at	143.9	P	0.017001	-0.1	NC	0.500000	rc_AI011706 EST206157 Rattus norvegicus cDNA, 3  end /clone=ROVAZ10 /clone_end=3  /gb=AI011706 /ug=Rn.221 /len=431
rc_AI012051_at	214.5	P	0.021866	-0.2	NC	0.566823	rc_AI012051 EST206502 Rattus norvegicus cDNA, 3  end /clone=RPLAS08 /clone_end=3  /gb=AI012051 /ug=Rn.221 /len=475
rc_AI013993_at	188.0	P	0.017001	-0.2	NC	0.500000	rc_AI013993 EST207548 Rattus norvegicus cDNA, 3  end /clone=RSPBC95 /clone_end=3  /gb=AI013993 /ug=Rn.221 /len=514
rc_AI014091_at	361.2	P	0.001892	0.0	NC	0.500000	rc_AI014091 EST207646 Rattus norvegicus cDNA, 3  end /clone=RSPBE78 /clone_end=3  /gb=AI014091 /ug=Rn.221 /len=608
rc_AI014094_at	122.9	A	0.479380	-0.7	NC	0.500000	rc_AI014094 EST207649 Rattus norvegicus cDNA, 3  end /clone=RSPBE87 /clone_end=3  /gb=AI014094 /ug=Rn.221 /len=569
rc_AI014094_g_at	305.5	M	0.054470	0.2	NC	0.403969	rc_AI014094 EST207649 Rattus norvegicus cDNA, 3  end /clone=RSPBE87 /clone_end=3  /gb=AI014094 /ug=Rn.221 /len=569
rc_AI013074_at	165.9	A	0.150527	0.1	NC	0.500000	rc_AI013074 EST207749 Rattus norvegicus cDNA, 3  end /clone=RSPBG25 /clone_end=3  /gb=AI013074 /ug=Rn.221 /len=492
rc_AI013365_at	70.1	A	0.284747	1.5	NC	0.500000	rc_AI013365 EST208040 Rattus norvegicus cDNA, 3  end /clone=RSPBK06 /clone_end=3  /gb=AI013365 /ug=Rn.221 /len=561
rc_AI013513_at	334.3	P	0.003585	0.0	NC	0.500000	rc_AI013513 EST208188 Rattus norvegicus cDNA, 3  end /clone=RSPBN09 /clone_end=3  /gb=AI013513 /ug=Rn.221 /len=551
rc_AI102868_at	219.3	P	0.005643	-0.1	NC	0.500000	rc_AI102868 EST212157 Rattus norvegicus cDNA, 3  end /clone=REMBT90 /clone_end=3  /gb=AI102868 /ug=Rn.221 /len=489
rc_AI102868_g_at	1276.6	P	0.000219	-0.1	NC	0.500000	rc_AI102868 EST212157 Rattus norvegicus cDNA, 3  end /clone=REMBT90 /clone_end=3  /gb=AI102868 /ug=Rn.221 /len=489
rc_AI103396_at	13.9	A	0.824011	-2.2	NC	0.941875	rc_AI103396 EST212685 Rattus norvegicus cDNA, 3  end /clone=REMCB47 /clone_end=3  /gb=AI103396 /gi=3707945 /ug=Rn.221 /len=443
rc_AI103396_g_at	22547.6	P	0.000219	0.3	I	0.000027	rc_AI103396 EST212685 Rattus norvegicus cDNA, 3  end /clone=REMCB47 /clone_end=3  /gb=AI103396 /gi=3707945 /ug=Rn.221 /len=443
rc_AI104077_at	5.1	A	0.951005	-0.2	NC	0.856752	rc_AI104077 EST213366 Rattus norvegicus cDNA, 3  end /clone=RHEBX02 /clone_end=3  /gb=AI104077 /gi=3708495 /ug=Rn.221 /len=557
rc_AI171355_s_at	16705.1	P	0.000219	0.3	I	0.000002	rc_AI171355 EST217310 Rattus norvegicus cDNA, 3  end /clone=RMUBJ63 /clone_end=3  /gb=AI171355 /gi=3711395 /ug=Rn.221 /len=538
rc_AI176253_at	3.2	A	0.999612	-0.1	NC	0.559457	rc_AI176253 EST219834 Rattus norvegicus cDNA, 3  end /clone=ROVBP18 /clone_end=3  /gb=AI176253 /ug=Rn.221 /len=460
rc_AI178204_at	360.0	P	0.000959	-0.1	NC	0.500000	rc_AI178204 EST221869 Rattus norvegicus cDNA, 3  end /clone=RPLCN48 /clone_end=3  /gb=AI178204 /ug=Rn.221 /len=520
rc_AI179150_s_at	20370.2	P	0.000219	0.3	I	0.000015	rc_AI179150 EST222834 Rattus norvegicus cDNA, 3  end /clone=RSPCC55 /clone_end=3  /gb=AI179150 /ug=Rn.221 /len=513
rc_AI179445_at	397.8	A	0.127645	0.1	NC	0.500000	rc_AI179445 EST223155 Rattus norvegicus cDNA, 3  end /clone=RSPCH43 /clone_end=3  /gb=AI179445 /ug=Rn.221 /len=438
rc_AI179916_at	452.1	P	0.005643	0.0	NC	0.500000	rc_AI179916 EST223647 Rattus norvegicus cDNA, 3  end /clone=RSPCN66 /clone_end=3  /gb=AI179916 /ug=Rn.221 /len=520
rc_AI230228_at	976.9	P	0.000219	-0.0	NC	0.500000	rc_AI230228 EST226923 Rattus norvegicus cDNA, 3  end /clone=REMCT87 /clone_end=3  /gb=AI230228 /ug=Rn.221 /len=626
rc_AI230406_at	1385.9	P	0.000266	-0.1	NC	0.500000	rc_AI230406 EST227101 Rattus norvegicus cDNA, 3  end /clone=REMCW17 /clone_end=3  /gb=AI230406 /ug=Rn.221 /len=558
M91589_at	7.8	A	0.765443	-0.9	NC	0.500000	M91589 Rat beta-arrestin1 mRNA, complete cds /cds=(35,1291) /gb=M91589 /gi=949985 /ug=Rn.221 /len=1357
M24604_at	272.3	P	0.000959	-0.2	NC	0.638810	M24604 Rat proliferating cell nuclear antigen (PCNA/cyclin) mRNA, complete cds /cds=(62,847) /gb=M24604 /gi=206047 /ug=Rn.223 /len=1160
M24604_g_at	267.5	P	0.019304	0.1	NC	0.433177	M24604 Rat proliferating cell nuclear antigen (PCNA/cyclin) mRNA, complete cds /cds=(62,847) /gb=M24604 /gi=206047 /ug=Rn.223 /len=1160
rc_AA818726_at	96.0	A	0.175989	-0.3	NC	0.743593	rc_AA818726 UI-R-A0-ay-f-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A0-ay-f-04-0-UI /clone_end=3  /gb=AA818726 /gi=2888312 /ug=Rn.22468 /len=464
rc_AA893328_at	143.8	P	0.000673	-0.3	NC	0.500000	rc_AA893328 EST197131 Rattus norvegicus cDNA, 3  end /clone=RKIBF14 /clone_end=3  /gb=AA893328 /gi=3020207 /ug=Rn.22687 /len=362
rc_AI102505_at	3108.0	P	0.001602	-0.3	NC	0.869055	rc_AI102505 EST211794 Rattus norvegicus cDNA, 3  end /clone=REMBO49 /clone_end=3  /gb=AI102505 /gi=3707269 /ug=Rn.2270 /len=536
rc_AI102505_g_at	7489.3	P	0.000219	0.1	NC	0.500000	rc_AI102505 EST211794 Rattus norvegicus cDNA, 3  end /clone=REMBO49 /clone_end=3  /gb=AI102505 /gi=3707269 /ug=Rn.2270 /len=536
L00981mRNA#2_at	19.4	A	0.882840	-0.2	NC	0.500000	L00981mRNA#2 Rattus norvegicus lymphotoxin (TNF-beta) gene, complete cds, tumor necrosis factor (TNF-alpha) gene, complete cds /cds=(151,759) /gb=L00981 /gi=205253 /ug=Rn.9820 /len=1341
rc_AA892248_at	11432.5	P	0.000266	0.4	I	0.000009	rc_AA892248 EST196051 Rattus norvegicus cDNA, 3  end /clone=RKIAO18 /clone_end=3  /gb=AA892248 /gi=3019127 /ug=Rn.2277 /len=587
rc_AA892248_g_at	11819.4	P	0.000219	0.5	I	0.000000	rc_AA892248 EST196051 Rattus norvegicus cDNA, 3  end /clone=RKIAO18 /clone_end=3  /gb=AA892248 /gi=3019127 /ug=Rn.2277 /len=587
rc_AA819643_at	39.0	A	0.138765	0.7	NC	0.500000	rc_AA819643 UI-R-A0-an-f-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A0-an-f-10-0-UI /clone_end=3  /gb=AA819643 /gi=2888907 /ug=Rn.2277 /len=568
rc_AI236601_at	1346.0	P	0.000266	0.1	NC	0.268596	rc_AI236601 EST233163 Rattus norvegicus cDNA, 3  end /clone=ROVDI22 /clone_end=3  /gb=AI236601 /ug=Rn.2277 /len=625
rc_AA900199_s_at	955.4	P	0.000266	0.1	NC	0.500000	rc_AA900199 UI-R-A0-bh-h-06-0-UI.s4 Rattus norvegicus cDNA, 3  end /clone=UI-R-A0-bh-h-06-0-UI /clone_end=3  /gb=AA900199 /gi=3035553 /ug=Rn.22932 /len=375
rc_AI235358_at	1175.1	P	0.000219	0.1	NC	0.500000	rc_AI235358 EST231920 Rattus norvegicus cDNA, 3  end /clone=ROVCQ84 /clone_end=3  /gb=AI235358 /ug=Rn.2334 /len=554
rc_AI233365_at	926.3	P	0.000266	0.1	NC	0.500000	rc_AI233365 EST230053 Rattus norvegicus cDNA, 3  end /clone=RKIDE13 /clone_end=3  /gb=AI233365 /ug=Rn.23561 /len=480
rc_AI136977_at	233.5	M	0.054470	0.3	NC	0.354210	rc_AI136977 UI-R-C2p-nz-f-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C2p-nz-f-10-0-UI /clone_end=3  /gb=AI136977 /ug=Rn.23741 /len=376
rc_AI136977_g_at	267.5	P	0.000673	0.2	NC	0.160832	rc_AI136977 UI-R-C2p-nz-f-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C2p-nz-f-10-0-UI /clone_end=3  /gb=AI136977 /ug=Rn.23741 /len=376
rc_AI231547_at	520.6	P	0.001354	0.2	NC	0.034854	rc_AI231547 EST228235 Rattus norvegicus cDNA, 3  end /clone=REMDL77 /clone_end=3  /gb=AI231547 /ug=Rn.23741 /len=542
rc_AA893711_at	96.4	A	0.250724	-0.5	NC	0.718930	rc_AA893711 EST197514 Rattus norvegicus cDNA, 3  end /clone=RPLAI72 /clone_end=3  /gb=AA893711 /gi=3020590 /ug=Rn.23886 /len=541
rc_AA817987_f_at	74.9	A	0.204022	0.1	NC	0.500000	rc_AA817987 UI-R-A0-ah-a-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A0-ah-a-06-0-UI /clone_end=3  /gb=AA817987 /gi=2887867 /ug=Rn.23920 /len=373
rc_AI176308_at	814.7	P	0.000266	0.1	NC	0.500000	rc_AI176308 EST219890 Rattus norvegicus cDNA, 3  end /clone=ROVBP83 /clone_end=3  /gb=AI176308 /ug=Rn.2396 /len=600
rc_AA817764_at	58.5	A	0.679170	0.3	NC	0.500000	rc_AA817764 UI-R-A0-ad-b-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A0-ad-b-11-0-UI /clone_end=3  /gb=AA817764 /gi=2887644 /ug=Rn.24160 /len=534
rc_AI232321_at	421.5	P	0.001354	-0.1	NC	0.500000	rc_AI232321 EST229009 Rattus norvegicus cDNA, 3  end /clone=RKICA22 /clone_end=3  /gb=AI232321 /ug=Rn.24630 /len=590
rc_AI169708_s_at	29.7	A	0.218983	0.3	NC	0.500000	rc_AI169708 EST215604 Rattus norvegicus cDNA, 3  end /clone=RLIAS26 /clone_end=3  /gb=AI169708 /gi=3709748 /ug=Rn.2521 /len=621
rc_AA818226_s_at	9175.2	P	0.000805	0.2	I	0.000570	rc_AA818226 UI-R-A0-ah-g-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A0-ah-g-06-0-UI /clone_end=3  /gb=AA818226 /gi=2888106 /ug=Rn.2528 /len=609
K02814_at	66.7	A	0.378184	-0.6	NC	0.825092	K02814 Rat major acute phase alpha-1 protein (MAP), complete cds /cds=(0,1273) /gb=K02814 /gi=205305 /ug=Rn.2581 /len=1389
K02814_g_at	65.0	A	0.320830	0.0	NC	0.500000	K02814 Rat major acute phase alpha-1 protein (MAP), complete cds /cds=(0,1273) /gb=K02814 /gi=205305 /ug=Rn.2581 /len=1389
X07365_s_at	269.0	P	0.000959	0.0	NC	0.500000	X07365 Rat mRNA for glutathione peroxidase /cds=UNKNOWN /gb=X07365 /gi=56328 /ug=Rn.2581 /len=1161
rc_AA942685_at	603.3	P	0.000562	0.2	NC	0.326797	rc_AA942685 EST198184 Rattus norvegicus cDNA, 3  end /clone=RBRAA17 /clone_end=3  /gb=AA942685 /gi=3102601 /ug=Rn.2589 /len=620
rc_AA892041_at	1051.7	P	0.000322	0.2	NC	0.396744	rc_AA892041 EST195844 Rattus norvegicus cDNA, 3  end /clone=RKIAL12 /clone_end=3  /gb=AA892041 /gi=3018920 /ug=Rn.2680 /len=606
rc_AA892532_at	738.0	P	0.001141	0.1	NC	0.500000	rc_AA892532 EST196335 Rattus norvegicus cDNA, 3  end /clone=RKIAS56 /clone_end=3  /gb=AA892532 /gi=3019411 /ug=Rn.2685 /len=572
rc_AA875594_s_at	2925.9	P	0.000219	0.1	NC	0.232922	rc_AA875594 UI-R-E0-cv-a-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-cv-a-11-0-UI /clone_end=3  /gb=AA875594 /gi=2980542 /ug=Rn.2792 /len=394
rc_AI228738_s_at	2918.6	P	0.000219	0.3	NC	0.004424	rc_AI228738 EST225433 Rattus norvegicus cDNA, 3  end /clone=RBRCY78 /clone_end=3  /gb=AI228738 /ug=Rn.2792 /len=495
rc_AA875268_at	1115.1	P	0.000562	0.1	NC	0.403969	rc_AA875268 UI-R-E0-ce-b-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-ce-b-04-0-UI /clone_end=3  /gb=AA875268 /gi=2980216 /ug=Rn.2855 /len=449
rc_AI229497_at	647.4	P	0.000219	0.2	NC	0.115705	rc_AI229497 EST226192 Rattus norvegicus cDNA, 3  end /clone=REMCH27 /clone_end=3  /gb=AI229497 /ug=Rn.2867 /len=444
rc_AA875327_at	1008.8	P	0.000468	0.2	I	0.001017	rc_AA875327 UI-R-E0-cn-h-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-cn-h-05-0-UI /clone_end=3  /gb=AA875327 /gi=2980275 /ug=Rn.2880 /len=377
rc_AA875327_g_at	1175.6	P	0.000219	0.0	NC	0.500000	rc_AA875327 UI-R-E0-cn-h-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-cn-h-05-0-UI /clone_end=3  /gb=AA875327 /gi=2980275 /ug=Rn.2880 /len=377
rc_AI180108_at	1215.6	P	0.000219	0.1	NC	0.500000	rc_AI180108 EST223845 Rattus norvegicus cDNA, 3  end /clone=RSPCQ22 /clone_end=3  /gb=AI180108 /ug=Rn.2880 /len=504
rc_AA875471_at	73.6	A	0.397994	0.7	NC	0.500000	rc_AA875471 UI-R-E0-cp-d-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-cp-d-01-0-UI /clone_end=3  /gb=AA875471 /gi=2980419 /ug=Rn.2927 /len=396
rc_AA875639_at	132.8	A	0.098054	-0.4	NC	0.725202	rc_AA875639 UI-R-E0-ct-f-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-ct-f-10-0-UI /clone_end=3  /gb=AA875639 /gi=2980587 /ug=Rn.2986 /len=407
rc_AA926149_at	28.3	A	0.732537	-0.8	NC	0.645790	rc_AA926149 UI-R-A1-eq-h-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A1-eq-h-04-0-UI /clone_end=3  /gb=AA926149 /gi=3073285 /ug=Rn.3001 /len=449
rc_AA926149_g_at	92.9	P	0.000959	-0.3	NC	0.529811	rc_AA926149 UI-R-A1-eq-h-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A1-eq-h-04-0-UI /clone_end=3  /gb=AA926149 /gi=3073285 /ug=Rn.3001 /len=449
rc_AA866240_i_at	222.7	P	0.008057	-0.6	NC	0.822588	rc_AA866240 UI-R-A0-bg-g-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A0-bg-g-05-0-UI /clone_end=3  /gb=AA866240 /gi=2961686 /ug=Rn.3010 /len=291
rc_AA866240_f_at	142.2	P	0.013092	-0.6	NC	0.993889	rc_AA866240 UI-R-A0-bg-g-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A0-bg-g-05-0-UI /clone_end=3  /gb=AA866240 /gi=2961686 /ug=Rn.3010 /len=291
rc_AA874919_at	52.1	A	0.073830	-0.7	NC	0.989275	rc_AA874919 UI-R-E0-ck-g-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-ck-g-09-0-UI /clone_end=3  /gb=AA874919 /gi=2979867 /ug=Rn.3174 /len=542
rc_AA874919_g_at	22.4	A	0.849473	-0.3	NC	0.778357	rc_AA874919 UI-R-E0-ck-g-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-ck-g-09-0-UI /clone_end=3  /gb=AA874919 /gi=2979867 /ug=Rn.3174 /len=542
